"Item name","Item sku","Item barcode","Item description","Item manufacturer","Item weight","Listing name","Listing sku","Listing barcode","Listing description","Listing manufacturer","Item Woo_Item Colour","Item Woo_Price","Item Woo_TaxRate","Item Woo_Item Size","Listing Woo_TaxRate","Listing Woo_Price","Listing Woo_Item Size","Listing Woo_Item Colour","Item Woo_Categories","Listing Woo_Categories","Item Woo_Size","Item Woo_SalePrice","Listing Woo_SalePrice",
"One","1","111111111111111111",,"1",,"One",,"111000000000000000",,"1",
"82140n/hpmt 8","20846334","193113144850","82140n/hpmt 8","Skechers",,"82140n/hpmt 8",,"193000000000","82140n/hpmt 8","Skechers",
"82140n/hpmt 9","20846344","193113144867","82140n/hpmt 9","Skechers",,"82140n/hpmt 9",,"193000000000","82140n/hpmt 9","Skechers",
"82140n/hpmt 10","20846351","193113144935","82140n/hpmt 10","Skechers",,"82140n/hpmt 10",,"193000000000","82140n/hpmt 10","Skechers",
"82140n/hpmt 11","20846363","193113144942","82140n/hpmt 11","Skechers",,"82140n/hpmt 11",,"193000000000","82140n/hpmt 11","Skechers",
"SIZE FIVE","20846401","191665368533","82074n/lvpk 5","Skechers",,"SIZE FIVE",,"192000000000","82074n/lvpk 5","Skechers",
"SIZE SIX","20846432","191665368540","82074n/lvpk 6","Skechers",,"SIZE SIX",,"192000000000","82074n/lvpk 6","Skechers",
"82074n/lvpk 9","20846461","191665368571","82074n/lvpk 9","Skechers",,"82074n/lvpk 9",,"192000000000","82074n/lvpk 9","Skechers",
"82074n/lvpk 9","20846468",,"82074n/lvpk 9","Skechers",,"82074n/lvpk 9",,,"82074n/lvpk 9","Skechers",
"82074n/lvpk 8","20846485","191665368564","82074n/lvpk 8","Skechers",,"82074n/lvpk 8",,"192000000000","82074n/lvpk 8","Skechers",
"82074n/lvpk 8","20846489",,"82074n/lvpk 8","Skechers",,"82074n/lvpk 8",,,"82074n/lvpk 8","Skechers",
"T SHIRT OLIVE M","20846504","1032201730010","T SHIRT OLIVE M","CARABOU",,"T SHIRT OLIVE M",,"1030000000000","T SHIRT OLIVE M","CARABOU",
"T SHIRT OLIVE L","20846509","1032201730027","T SHIRT OLIVE L","CARABOU",,"T SHIRT OLIVE L",,"1030000000000","T SHIRT OLIVE L","CARABOU",
"T SHIRT OLIVE XL","20846519","1032201730034","T SHIRT OLIVE XL","CARABOU",,"T SHIRT OLIVE XL",,"1030000000000","T SHIRT OLIVE XL","CARABOU",
"T SHIRT OLIVE XXL","20846531","1032201730041","T SHIRT OLIVE XXL","CARABOU",,"T SHIRT OLIVE XXL",,"1030000000000","T SHIRT OLIVE XXL","CARABOU",
"82273l/bbk 10","20846538","190872535325","82273l/bbk 10","Skechers",,"82273l/bbk 10",,"191000000000","82273l/bbk 10","Skechers",
"T SHIRT NAVY M","20846539","1032201710012","T SHIRT NAVY M","CARABOU",,"T SHIRT NAVY M",,"1030000000000","T SHIRT NAVY M","CARABOU",
"T SHIRT NAVY L","20846546","1032201710029","T SHIRT NAVY L","CARABOU",,"T SHIRT NAVY L",,"1030000000000","T SHIRT NAVY L","CARABOU",
"T SHIRT NAVY XL","20846554","1032201710036","T SHIRT NAVY XL","CARABOU",,"T SHIRT NAVY XL",,"1030000000000","T SHIRT NAVY XL","CARABOU",
"82273l/bbk 13.5","20846568","190872535394","82273l/bbk 13.5","Skechers",,"82273l/bbk 13.5",,"191000000000","82273l/bbk 13.5","Skechers",
"T SHIRT NAVY XXL","20846572","1032201710043","T SHIRT NAVY XXL","CARABOU",,"T SHIRT NAVY XXL",,"1030000000000","T SHIRT NAVY XXL","CARABOU",
"T SHIRT SKY M","20846582","1032201720011","T SHIRT SKY M","CARABOU",,"T SHIRT SKY M",,"1030000000000","T SHIRT SKY M","CARABOU",
"T SHIRT SKY L","20846585","1032201720028","T SHIRT SKY L","CARABOU",,"T SHIRT SKY L",,"1030000000000","T SHIRT SKY L","CARABOU",
"T SHIRT SKY XL","20846589","1032201720035","T SHIRT SKY XL","CARABOU",,"T SHIRT SKY XL",,"1030000000000","T SHIRT SKY XL","CARABOU",
"T SHIRT SKY XXL","20846591","1032201720042","T SHIRT SKY XXL","CARABOU",,"T SHIRT SKY XXL",,"1030000000000","T SHIRT SKY XXL","CARABOU",
"82273l/bbk 10.5","20846606","190872535332","82273l/bbk 10.5","Skechers",,"82273l/bbk 10.5",,"191000000000","82273l/bbk 10.5","Skechers",
"82273l/bbk 11","20846623","190872535349","82273l/bbk 11","Skechers",,"82273l/bbk 11",,"191000000000","82273l/bbk 11","Skechers",
"82279l/bbk 1.5","20846670","190872501610","82279l/bbk 1.5","Skechers",,"82279l/bbk 1.5",,"191000000000","82279l/bbk 1.5","Skechers",
"82279l/bbk 2","20846684","190872501627","82279l/bbk 2","Skechers",,"82279l/bbk 2",,"191000000000","82279l/bbk 2","Skechers",
"81264l/blk 10.5","20846700","885788720063","81264l/blk 10.5","Skechers",,"81264l/blk 10.5",,"886000000000","81264l/blk 10.5","Skechers",
"81264l/blk 11.5","20846706","885788720087","81264l/blk 11.5","Skechers",,"81264l/blk 11.5",,"886000000000","81264l/blk 11.5","Skechers",
"82298l/blk 13","20846789","889110009741","82298l/blk 13","Skechers",,"82298l/blk 13",,"889000000000","82298l/blk 13","Skechers",
"81148n/gymt 7","20846822","190872510377","81148n/gymt 7","Skechers",,"81148n/gymt 7",,"191000000000","81148n/gymt 7","Skechers",
"81148n/gymt 11","20846833","190872510414","81148n/gymt 11","Skechers",,"81148n/gymt 11",,"191000000000","81148n/gymt 11","Skechers",
"10790l/dmlt 13","20846843","190872616017","10790l/dmlt 13","Skechers",,"10790l/dmlt 13",,"191000000000","10790l/dmlt 13","Skechers",
"10576n/dnpr 4","20846858","190211130938","10576n/dnpr 4","Skechers",,"10576n/dnpr 4",,"190000000000","10576n/dnpr 4","Skechers",
"81486l/mlt 13","20846864","191665366720","81486l/mlt 13","Skechers",,"81486l/mlt 13",,"192000000000","81486l/mlt 13","Skechers",
"SIZE SIX","20846877","190872510360","81148n/gymt 6","Skechers",,"SIZE SIX",,"191000000000","81148n/gymt 6","Skechers",
"86787n/bmt 7","20846887","889110671207","86787n/bmt 7","Skechers",,"86787n/bmt 7",,"889000000000","86787n/bmt 7","Skechers",
"SIZE SIX","20846893","889110671191","86787n/bmt 6","Skechers",,"SIZE SIX",,"889000000000","86787n/bmt 6","Skechers",
"81488n/mlt 6","20846901","190872499771","81488n/mlt 6","Skechers",,"81488n/mlt 6",,"191000000000","81488n/mlt 6","Skechers",
"SIZE FIVE","20846906","190872499764","81488n/mlt 5","Skechers",,"SIZE FIVE",,"191000000000","81488n/mlt 5","Skechers",
"10667l/hppr","20846941","190211119612","10667l/hppr","Skechers",,"10667l/hppr",,"190000000000","10667l/hppr","Skechers",
"10667l/hppr 2","20846952",,"10667l/hppr 2","Skechers",,"10667l/hppr 2",,,"10667l/hppr 2","Skechers",
"81878l/bkmt 2","20846976","827443094164","81878l/bkmt 2","Skechers",,"81878l/bkmt 2",,"827000000000","81878l/bkmt 2","Skechers",
"14166/bbk 3","20847017","190211472786","14166/bbk 3","Skechers",,"14166/bbk 3",,"190000000000","14166/bbk 3","Skechers",
"14148/char 8","20847030","190211240095","14148/char 8","Skechers",,"14148/char 8",,"190000000000","14148/char 8","Skechers",
"23028/blk 3","20849369","190211630599","23028/blk 3","Skechers",,"23028/blk 3",,"190000000000","23028/blk 3","Skechers",
"23422/nat 7","20849373","190872042526","23422/nat 7","Skechers",,"23422/nat 7",,"191000000000","23422/nat 7","Skechers",
"49225/tpe 5","20849386","889110540428","49225/tpe 5","Skechers",,"49225/tpe 5",,"889000000000","49225/tpe 5","Skechers",
"22535/blk 5","20849393","889110628768","22535/blk 5","Skechers",,"22535/blk 5",,"889000000000","22535/blk 5","Skechers",
"12753/bkw 3","20849400","190211088789","12753/bkw 3","Skechers",,"12753/bkw 3",,"190000000000","12753/bkw 3","Skechers",
"12824/nvy 7","20849408","193113165824","12824/nvy 7","Skechers",,"12824/nvy 7",,"193000000000","12824/nvy 7","Skechers",
"12283/nvy 6","20849442","190872214268","12283/nvy 6","Skechers",,"12283/nvy 6",,"191000000000","12283/nvy 6","Skechers",
"33961/blk 7","20849446","889110727379","33961/blk 7","Skechers",,"33961/blk 7",,"889000000000","33961/blk 7","Skechers",
"32800/slt 7","20849454","192283790928","32800/slt 7","Skechers",,"32800/slt 7",,"192000000000","32800/slt 7","Skechers",
"14420/nvy 6","20849464","190211876928","14420/nvy 6","Skechers",,"14420/nvy 6",,"190000000000","14420/nvy 6","Skechers",
"14175/bkw 5","20849587","190211209542","14175/bkw 5","Skechers",,"14175/bkw 5",,"190000000000","14175/bkw 5","Skechers",
"GREY CREW XXL","20849591","3004190103043","GREY CREW XXL","CARABOU",,"GREY CREW XXL",,"3000000000000","GREY CREW XXL","CARABOU",
"GREY CREW XL","20849595","3004190103036","GREY CREW XL","CARABOU",,"GREY CREW XL",,"3000000000000","GREY CREW XL","CARABOU",
"12624/csnt 7","20849613","190872632918","12624/csnt 7","Skechers",,"12624/csnt 7",,"191000000000","12624/csnt 7","Skechers",
"GREY CREW L","20849620","3004190103029","GREY CREW L","CARABOU",,"GREY CREW L",,"3000000000000","GREY CREW L","CARABOU",
"12379/gypk 3","20849623","190872380932","12379/gypk 3","Skechers",,"12379/gypk 3",,"191000000000","12379/gypk 3","Skechers",
"GREY CREW M","20849628","3004190103012","GREY CREW M","CARABOU",,"GREY CREW M",,"3000000000000","GREY CREW M","CARABOU",
"23055/nvy 3","20849636","190211685179","23055/nvy 3","Skechers",,"23055/nvy 3",,"190000000000","23055/nvy 3","Skechers",
"13069/bbk 6","20849644","192283978616","13069/bbk 6","Skechers",,"13069/bbk 6",,"192000000000","13069/bbk 6","Skechers",
"GREY CREW M","20849661",,"GREY CREW M","CARABOU",,"GREY CREW M",,,"GREY CREW M","CARABOU",
"14951/nvy 7","20849691","190872092422","14951/nvy 7","Skechers",,"14951/nvy 7",,"191000000000","14951/nvy 7","Skechers",
"23028/nvy 8","20849715","190211630803","23028/nvy 8","Skechers",,"23028/nvy 8",,"190000000000","23028/nvy 8","Skechers",
"13020/bkmt 5","20849722","193113028501","13020/bkmt 5","Skechers",,"13020/bkmt 5",,"193000000000","13020/bkmt 5","Skechers",
"49336/dsch 7","20849733","190211252074","49336/dsch 7","Skechers",,"49336/dsch 7",,"190000000000","49336/dsch 7","Skechers",
"31347/blk 5","20849742","192283063978","31347/blk 5","Skechers",,"31347/blk 5",,"192000000000","31347/blk 5","Skechers",
"95524l/bbk 3","20849814","889110129999","95524l/bbk 3","Skechers",,"95524l/bbk 3",,"889000000000","95524l/bbk 3","Skechers",
"97673/bkcc 13","20849843","191665282389","97673/bkcc 13","Skechers",,"97673/bkcc 13",,"192000000000","97673/bkcc 13","Skechers",
"97673/bkcc 3","20849851","191665282440","97673/bkcc 3","Skechers",,"97673/bkcc 3",,"192000000000","97673/bkcc 3","Skechers",
"97673/ccgy 2","20849861","192283945311","97673/ccgy 2","Skechers",,"97673/ccgy 2",,"192000000000","97673/ccgy 2","Skechers",
"97820l/ccor 4","20849869","192283155307","97820l/ccor 4","Skechers",,"97820l/ccor 4",,"192000000000","97820l/ccor 4","Skechers",
"93879l/blk 13","20849888","190872861646","93879l/blk 13","Skechers",,"93879l/blk 13",,"191000000000","93879l/blk 13","Skechers",
"97766l/nvrd 3","20849938","192283155109","97766l/nvrd 3","Skechers",,"97766l/nvrd 3",,"192000000000","97766l/nvrd 3","Skechers",
"RED CHECK SHIRT XL","20849942","1712153210043","RED CHECK SHIRT XL","CARABOU",,"RED CHECK SHIRT XL",,"1710000000000","RED CHECK SHIRT XL","CARABOU",
"95370l/blnv 11.5","20849957","191665393931","95370l/blnv 11.5","Skechers",,"95370l/blnv 11.5",,"192000000000","95370l/blnv 11.5","Skechers",
"94093l/cblm 1","20849978","192283801501","94093l/cblm 1","Skechers",,"94093l/cblm 1",,"192000000000","94093l/cblm 1","Skechers",
"PURPLE CHECK SHIRT M","20849983","1712153010025","PURPLE CHECK SHIRT M","CARABOU",,"PURPLE CHECK SHIRT M",,"1710000000000","PURPLE CHECK SHIRT M","CARABOU",
"PURPLE CHECK SHIRT L","20849992","1712153010032","PURPLE CHECK SHIRT L","CARABOU",,"PURPLE CHECK SHIRT L",,"1710000000000","PURPLE CHECK SHIRT L","CARABOU",
"94093l/cblm 13","20849994","192283801488","94093l/cblm 13","Skechers",,"94093l/cblm 13",,"192000000000","94093l/cblm 13","Skechers",
"PURPLE CHECK SHIRT XL","20850042","1712153010049","PURPLE CHECK SHIRT XL","CARABOU",,"PURPLE CHECK SHIRT XL",,"1710000000000","PURPLE CHECK SHIRT XL","CARABOU",
"94093l/cblm 11","20850047","192283801440","94093l/cblm 11","Skechers",,"94093l/cblm 11",,"192000000000","94093l/cblm 11","Skechers",
"PURPLE CHECK SHIRT XXL","20850049","1712153010056","PURPLE CHECK SHIRT XXL","CARABOU",,"PURPLE CHECK SHIRT XXL",,"1710000000000","PURPLE CHECK SHIRT XXL","CARABOU",
"90551n/bblm 6","20850083","889110649596","90551n/bblm 6","Skechers",,"90551n/bblm 6",,"889000000000","90551n/bblm 6","Skechers",
"90630n/blk 5","20850097","190872728482","90630n/blk 5","Skechers",,"90630n/blk 5",,"191000000000","90630n/blk 5","Skechers",
"90630n/blk 4","20850101","190872728475","90630n/blk 4","Skechers",,"90630n/blk 4",,"191000000000","90630n/blk 4","Skechers",
"HAIGMAN TRUNK BLK M","20850155","5055555303507","HAIGMAN TRUNK BLK M","HAIGMAN",,"HAIGMAN TRUNK BLK M",,"5060000000000","HAIGMAN TRUNK BLK M","HAIGMAN",
"HAIGMAN TRUNK BLK S","20850174",,"HAIGMAN TRUNK BLK S","HAIGMAN",,"HAIGMAN TRUNK BLK S",,,"HAIGMAN TRUNK BLK S","HAIGMAN",
"HAIGMAN TRUNK BLK XL","20850178",,"HAIGMAN TRUNK BLK XL","HAIGMAN",,"HAIGMAN TRUNK BLK XL",,,"HAIGMAN TRUNK BLK XL","HAIGMAN",
"HAIGMAN TRUNK BLK XXL","20850180",,"HAIGMAN TRUNK BLK XXL","HAIGMAN",,"HAIGMAN TRUNK BLK XXL",,,"HAIGMAN TRUNK BLK XXL","HAIGMAN",
"HAIGMAN BOXER WHITE M","20850195","5055555303309","HAIGMAN TRUNK WHITE M","HAIGMAN",,"HAIGMAN BOXER WHITE M",,"5060000000000","HAIGMAN TRUNK WHITE M","HAIGMAN",
"HAIGMAN TRUNK WHITE L","20850199","5055555303392","HAIGMAN TRUNK WHITE L","HAIGMAN",,"HAIGMAN TRUNK WHITE L",,"5060000000000","HAIGMAN TRUNK WHITE L","HAIGMAN",
"HAIGMAN TRUNK WHITE XL","20850203","5055555303323","HAIGMAN TRUNK WHITE XL","HAIGMAN",,"HAIGMAN TRUNK WHITE XL",,"5060000000000","HAIGMAN TRUNK WHITE XL","HAIGMAN",
"HAIGMAN BRIEF BLK S","20850218","5055555303453","HAIGMAN BRIEF BLK S","HAIGMAN",,"HAIGMAN BRIEF BLK S",,"5060000000000","HAIGMAN BRIEF BLK S","HAIGMAN",
"95054n/rdcc 8","20850221","885125781924","95054n/rdcc 8","Skechers",,"95054n/rdcc 8",,"885000000000","95054n/rdcc 8","Skechers",
"95054n/rdcc 4","20850227","885125781887","95054n/rdcc 4","Skechers",,"95054n/rdcc 4",,"885000000000","95054n/rdcc 4","Skechers",
"HAIGMAN BRIEF BLK M","20850288","5055555303460","HAIGMAN BRIEF BLK M","HAIGMAN",,"HAIGMAN BRIEF BLK M",,"5060000000000","HAIGMAN BRIEF BLK M","HAIGMAN",
"HAIGMAN BRIEF BLK L","20850292","5055555303477","HAIGMAN BRIEF BLK L","HAIGMAN",,"HAIGMAN BRIEF BLK L",,"5060000000000","HAIGMAN BRIEF BLK L","HAIGMAN",
"HAIGMAN BRIEF BLK XL","20850300","5055555303484","HAIGMAN BRIEF BLK XL","HAIGMAN",,"HAIGMAN BRIEF BLK XL",,"5060000000000","HAIGMAN BRIEF BLK XL","HAIGMAN",
"998090l/bbk 1","20850304","190211495624","998090l/bbk 1","Skechers",,"998090l/bbk 1",,"190000000000","998090l/bbk 1","Skechers",
"998090l/bbk 11","20850310","190211495563","998090l/bbk 11","Skechers",,"998090l/bbk 11",,"190000000000","998090l/bbk 11","Skechers",
"90580n/slrd 7","20850327","885125781856","90580n/slrd 7","Skechers",,"90580n/slrd 7",,"885000000000","90580n/slrd 7","Skechers",
"HAIGMAN BOXER BLK L","20850358","5055555303439","HAIGMAN BOXER BLK L","HAIGMAN",,"HAIGMAN BOXER BLK L",,"5060000000000","HAIGMAN BOXER BLK L","HAIGMAN",
"HAIGMAN BOXER BLK XL","20850365","5055555303446","HAIGMAN BOXER BLK XL","HAIGMAN",,"HAIGMAN BOXER BLK XL",,"5060000000000","HAIGMAN BOXER BLK XL","HAIGMAN",
"95020n/bllm 7","20850392","192283946172","95020n/bllm 7","Skechers",,"95020n/bllm 7",,"192000000000","95020n/bllm 7","Skechers",
"SIZE SIX","20850400","192283946165","95020n/bllm 6","Skechers",,"SIZE SIX",,"192000000000","95020n/bllm 6","Skechers",
"95020n/bllm 5","20850406","192283946158","95020n/bllm 5","Skechers",,"95020n/bllm 5",,"192000000000","95020n/bllm 5","Skechers",
"95020n/bllm 4","20850502","192283946141","95020n/bllm 4","Skechers",,"95020n/bllm 4",,"192000000000","95020n/bllm 4","Skechers",
"95020n/orbl 11","20850516","192283946295","95020n/orbl 11","Skechers",,"95020n/orbl 11",,"192000000000","95020n/orbl 11","Skechers",
"95020n/orbl 7","20850533","192283946257","95020n/orbl 7","Skechers",,"95020n/orbl 7",,"192000000000","95020n/orbl 7","Skechers",
"95020n/orbl 6","20850541","192283946240","95020n/orbl 6","Skechers",,"95020n/orbl 6",,"192000000000","95020n/orbl 6","Skechers",
"SIZE FIVE","20850586","192283946233","95020n/orbl 5","Skechers",,"SIZE FIVE",,"192000000000","95020n/orbl 5","Skechers",
"92811n/bklb 9","20850804","192283022265","92811n/bklb 9","Skechers",,"92811n/bklb 9",,"192000000000","92811n/bklb 9","Skechers",
"92811n/bklb 8","20850814","192283022258","92811n/bklb 8","Skechers",,"92811n/bklb 8",,"192000000000","92811n/bklb 8","Skechers",
"998127l/blk 13.5","20850912","192283723124","998127l/blk 13.5","Skechers",,"998127l/blk 13.5",,"192000000000","998127l/blk 13.5","Skechers",
"998127l/blk 13","20850969","192283723117","998127l/blk 13","Skechers",,"998127l/blk 13",,"192000000000","998127l/blk 13","Skechers",
"998127l/blk 10","20850988","192283723056","998127l/blk 10","Skechers",,"998127l/blk 10",,"192000000000","998127l/blk 10","Skechers",
"998127l/blk 11","20851011","192283723070","998127l/blk 11","Skechers",,"998127l/blk 11",,"192000000000","998127l/blk 11","Skechers",
"998127l/blk 12","20851034","192283723094","998127l/blk 12","Skechers",,"998127l/blk 12",,"192000000000","998127l/blk 12","Skechers",
"98100l/nvy 6","20851067","193113001689","98100l/nvy 6","Skechers",,"98100l/nvy 6",,"193000000000","98100l/nvy 6","Skechers",
"98100l/nvy 3","20851079","193113001627","98100l/nvy 3","Skechers",,"98100l/nvy 3",,"193000000000","98100l/nvy 3","Skechers",
"98100l/nvy 2","20851092","193113001962","98100l/nvy 2","Skechers",,"98100l/nvy 2",,"193000000000","98100l/nvy 2","Skechers",
"98100l/nvy 1","20851101","193113001580","98100l/nvy 1","Skechers",,"98100l/nvy 1",,"193000000000","98100l/nvy 1","Skechers",
"98100l/nvy 13","20851111","193113001566","98100l/nvy 13","Skechers",,"98100l/nvy 13",,"193000000000","98100l/nvy 13","Skechers",
"98100l/nvy 12","20851116","193113001542","98100l/nvy 12","Skechers",,"98100l/nvy 12",,"193000000000","98100l/nvy 12","Skechers",
"98100l/nvy 11","20851126","193113001528","98100l/nvy 11","Skechers",,"98100l/nvy 11",,"193000000000","98100l/nvy 11","Skechers",
"96314/bbk 4","20851141","190211292469","96314/bbk 4","Skechers",,"96314/bbk 4",,"190000000000","96314/bbk 4","Skechers",
"96314/bbk 3","20851149","889110259863","96314/bbk 3","Skechers",,"96314/bbk 3",,"889000000000","96314/bbk 3","Skechers",
"96314/bbk 2","20851154","889110259849","96314/bbk 2","Skechers",,"96314/bbk 2",,"889000000000","96314/bbk 2","Skechers",
"95357l/bbk","20851196","190872310823","95357l/bbk","Skechers",,"95357l/bbk",,"191000000000","95357l/bbk","Skechers",
"95020n/bllm 11","20851330","192283946219","95020n/bllm 11","Skechers",,"95020n/bllm 11",,"192000000000","95020n/bllm 11","Skechers",
"radway pink 5","20851489","5038600436658","radway pink 5","Skechers",,"radway pink 5",,"5040000000000","radway pink 5","Skechers",
"radway pink 3","20851492","5038600436634","radway pink 3","Skechers",,"radway pink 3",,"5040000000000","radway pink 3","Skechers",
"radway red 5","20851530","5038600432810","radway red 5","Skechers",,"radway red 5",,"5040000000000","radway red 5","Skechers",
"radway red 5","20851543",,"radway red 5","cotswold",,"radway red 5",,,"radway red 5","cotswold",
"audrey black 3","20851762","5038600022752","audrey black 3","GBS",,"audrey black 3",,"5040000000000","audrey black 3","GBS",
"audrey black 8","20851773","5038600022806","audrey black 8","GBS",,"audrey black 8",,"5040000000000","audrey black 8","GBS",
"audrey black 7","20851779","5038600022790","audrey black 7","GBS",,"audrey black 7",,"5040000000000","audrey black 7","GBS",
"audrey black 6","20851782","5038600022783","audrey black 6","GBS",,"audrey black 6",,"5040000000000","audrey black 6","GBS",
"audrey black 5","20851786","5038600022776","audrey black 5","GBS",,"audrey black 5",,"5040000000000","audrey black 5","GBS",
"audrey black 4","20851792","5038600022769","audrey black 4","GBS",,"audrey black 4",,"5040000000000","audrey black 4","GBS",
"audrey red 7","20851806","5038600135834","audrey red 7","GBS",,"audrey red 7",,"5040000000000","audrey red 7","GBS",
"audrey red 5","20851812","5038600135810","audrey red 5","GBS",,"audrey red 5",,"5040000000000","audrey red 5","GBS",
"audrey red 4","20851823","5038600135803","audrey red 4","GBS",,"audrey red 4",,"5040000000000","audrey red 4","GBS",
"audrey red 3","20851837","5038600135797","audrey red 3","GBS",,"audrey red 3",,"5040000000000","audrey red 3","GBS",
"maier memory foam 7","20851881","5038600365309","maier memory foam 7","Fleet & Foster",,"maier memory foam 7",,"5040000000000","maier memory foam 7","Fleet & Foster",
"maier memory foam 4","20851885","5038600365279","maier memory foam 4","Fleet & Foster",,"maier memory foam 4",,"5040000000000","maier memory foam 4","Fleet & Foster",
"maier memory foam 3","20851886","5038600365262","maier memory foam 3","Fleet & Foster",,"maier memory foam 3",,"5040000000000","maier memory foam 3","Fleet & Foster",
"kansas black 4","20851899","5038600551931","kansas black 4","Fleet & Foster",,"kansas black 4",,"5040000000000","kansas black 4","Fleet & Foster",
"chabilis navy 7","20851941","5038600221100","chabilis navy 7","Fleet & Foster",,"chabilis navy 7",,"5040000000000","chabilis navy 7","Fleet & Foster",
"chabilis navy 5","20851945","5038600221087","chabilis navy 5","Fleet & Foster",,"chabilis navy 5",,"5040000000000","chabilis navy 5","Fleet & Foster",
"bayeux navy 7","20851955","5038600492265","bayeux navy 7","Fleet & Foster",,"bayeux navy 7",,"5040000000000","bayeux navy 7","Fleet & Foster",
"bayeux navy 5","20851961","5038600492241","bayeux navy 5","Fleet & Foster",,"bayeux navy 5",,"5040000000000","bayeux navy 5","Fleet & Foster",
"bayeux navy 7","20851965",,"bayeux navy 7","Fleet & Foster",,"bayeux navy 7",,,"bayeux navy 7","Fleet & Foster",
"visa black 12","20851978","5038600125613","visa black 12","Fleet & Foster",,"visa black 12",,"5040000000000","visa black 12","Fleet & Foster",
"visa black 11","20851981","5038600125606","visa black 11","Fleet & Foster",,"visa black 11",,"5040000000000","visa black 11","Fleet & Foster",
"visa black 10","20851987","5038600125590","visa black 10","Fleet & Foster",,"visa black 10",,"5040000000000","visa black 10","Fleet & Foster",
"visa black 9","20852002","5038600125583","visa black 9","Fleet & Foster",,"visa black 9",,"5040000000000","visa black 9","Fleet & Foster",
"visa black 8","20852010","5038600125576","visa black 8","Fleet & Foster",,"visa black 8",,"5040000000000","visa black 8","Fleet & Foster",
"exeter brown 11","20852023","5038600137791","exeter brown 11","Fleet & Foster",,"exeter brown 11",,"5040000000000","exeter brown 11","Fleet & Foster",
"exeter brown 10","20852029","5038600137784","exeter brown 10","GBS",,"exeter brown 10",,"5040000000000","exeter brown 10","GBS",
"exeter brown 9","20852053","5038600137777","exeter brown 9","GBS",,"exeter brown 9",,"5040000000000","exeter brown 9","GBS",
"lidstone navy 9","20852104","5038600547880","lidstone navy 9","cotswold",,"lidstone navy 9",,"5040000000000","lidstone navy 9","cotswold",
"highbury navy 11","20852124","5038600168665","highbury navy 11","Mirak",,"highbury navy 11",,"5040000000000","highbury navy 11","Mirak",
"highbury navy 10","20852129","5038600168580","highbury navy 10","Mirak",,"highbury navy 10",,"5040000000000","highbury navy 10","Mirak",
"highbury navy 9","20852135","5038600168641","highbury navy 9","Mirak",,"highbury navy 9",,"5040000000000","highbury navy 9","Mirak",
"highbury navy 7","20852143","5038600168627","highbury navy 7","Mirak",,"highbury navy 7",,"5040000000000","highbury navy 7","Mirak",
